about
above
across
action
activity
actor
actress
add
address
adult
advice
afraid
after
afternoon
again
age
ago
agree
air
airport
all
also
always
amazing
and
angry
animal
another
answer
any
anyone
anything
apartment
apple
April
area
arm
around
arrive
art
article
artist
ask
August
aunt
autumn
away
baby
back
bad
bag
ball
banana
band
bank
bath
bathroom
beach
beautiful
because
become
bed
bedroom
beer
before
begin
beginning
behind
believe
below
best
better
between
bicycle
big
bike
bill
bird
birthday
black
blog
blonde
blue
boat
body
book
boot
bored
boring
born
both
bottle
box
boy
boyfriend
bread
break
breakfast
bring
brother
brown
build
building
bus
business
busy
but
butter
buy
bye
cafe
cake
call
camera
can
cannot
capital
car
card
career
carrot
carry
cat
cent
centre
century
chair
change
chart
cheap
check
cheese
chicken
child
chocolate
choose
cinema
city
class
classroom
clean
climb
clock
close
clothes
club
coat
coffee
cold
college
colour
come
common
company
compare
complete
computer
concert
conversation
cook
cool
correct
cost
could
country
course
cousin
cow
cream
create
culture
cup
customer
cut
dad
dance
dancer
dangerous
dark
date
daughter
day
dear
December
decide
delicious
describe
design
desk
detail
dialogue
dictionary
die
diet
difference
different
difficult
dinner
dirty
discuss
dish
doctor
dog
dollar
door
down
draw
dress
drink
drive
driver
during
DVD
each
ear
early
east
easy
eat
egg
eight
eighteen
eighty
elephant
eleven
else
email
end
enjoy
enough
euro
even
evening
event
ever
every
everybody
everyone
everything
exam
example
excited
exciting
exercise
expensive
explain
extra
eye
face
fact
fall
false
family
famous
fantastic
far
farm
farmer
fast
fat
father
favourite
February
feel
festival
few
fifteen
fifth
fifty
fill
film
final
find
fine
finish
fire
first
fish
five
flat
flight
floor
flower
fly
follow
food
foot
football
for
forget
form
forty
four
fourteen
free
Friday
friend
friendly
from
front
fruit
full
fun
funny
future
game
garden
geography
get
girl
girlfriend
give
glass
good
goodbye
grandfather
grandmother
grandparent
great
green
grey
group
grow
guess
guitar
gym
hair
half
hand
happen
happy
hard
hat
hate
have
head
health
healthy
hear
hello
help
her
here
hey
high
him
his
history
hobby
holiday
home
homework
hope
horse
hospital
hot
hotel
hour
house
how
however
hundred
hungry
husband
ice
ice cream
idea
imagine
important
improve
include
information
interest
internet
interview
into
introduce
island
its
jacket
January
jeans
job
join
journey
juice
July
June
just
keep
key
kilometre
kind
kitchen
know
land
language
large
last
late
laugh
learn
leave
left
leg
lesson
let
letter
library
lie
life
light
like
line
lion
list
listen
little
live
local
long
look
lose
lot
love
lunch
machine
magazine
main
make
man
many
map
March
market
married
match
May
maybe
meal
mean
meaning
meat
meet
meeting
member
menu
message
metre
midnight
mile
milk
million
minute
miss
mistake
model
modern
moment
Monday
money
month
more
morning
most
mother
mountain
mouse
mouth
move
movie
much
mum
museum
music
must
name
natural
near
need
negative
neighbour
never
new
news
newspaper
next
nice
night
nine
nineteen
ninety
nobody
north
nose
not
note
nothing
November
now
number
nurse
o'clock
object
October
off
office
often
old
once
one
onion
online
only
open
opinion
opposite
orange
order
other
our
out
over
own
page
paint
pair
paper
paragraph
parent
park
part
partner
party
passport
past
pay
pen
pencil
people
pepper
perfect
period
person
personal
phone
photo
piano
picture
piece
pig
pink
place
plan
plane
plant
play
player
please
point
police
pool
poor
popular
positive
possible
post
potato
pound
practice
prefer
prepare
present
pretty
price
probably
problem
product
programme
project
purple
put
quarter
question
quick
quiet
radio
rain
read
ready
real
reason
relax
remember
repeat
report
restaurant
result
return
rice
rich
ride
right
river
road
room
routine
rule
salad
salt
same
sandwich
Saturday
school
science
scientist
second
section
see
sell
send
sentence
September
seven
seventeen
seventy
share
she
sheep
shirt
shoe
shop
shopping
short
should
show
shower
sick
sing
singer
sister
sit
six
sixteen
sixty
skill
skirt
sleep
slow
small
snake
snow
some
somebody
someone
something
sometimes
son
song
soon
sorry
sound
soup
south
space
speak
special
spell
spend
sport
spring
stand
star
start
statement
station
stay
still
stop
story
street
strong
student
study
style
subject
success
sugar
summer
sun
Sunday
supermarket
sure
sweater
swim
table
take
talk
tall
taxi
tea
teach
teacher
team
teenager
television
tell
ten
tennis
terrible
test
text
than
thank
that
the
theatre
their
them
then
there
they
thing
think
third
thirsty
thirteen
thirty
this
thousand
three
through
Thursday
ticket
time
tired
title
today
together
toilet
tomato
tomorrow
tonight
too
tooth
topic
tourist
town
traffic
train
travel
tree
trip
trousers
true
Tuesday
turn
twelve
twenty
two
type
umbrella
uncle
under
understand
university
until
use
useful
usually
vacation
vegetable
very
video
village
visit
wait
waiter
wake
walk
wall
want
warm
wash
watch
water
way
wear
weather
website
Wednesday
week
weekend
welcome
well
west
what
when
where
which
white
who
why
wife
will
win
window
wine
winter
with
without
woman
wonderful
word
work
worker
world
would
write
writer
writing
wrong
yeah
year
yellow
yesterday
you
young
your
yourself
